,track_name,artist_name,artist_genre,album_name,release_date,album_track_amount,song_duration_minutes,popularity_score,track_number_on_album,issingle
0,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"['funk rock', 'alternative rock', 'rock']",I'm with You,2011-08-29,14,4.70667608,68,7,0
1,Comfortable Liar,Chevelle,"['alternative metal', 'nu metal', 'post-grunge', 'hard rock']",Wonder What's Next (Expanded Edition),2002,15,3.7211074422,73,2,0
2,The Red,Chevelle,"['alternative metal', 'nu metal', 'post-grunge', 'hard rock']",Wonder What's Next (Expanded Edition),2002,15,3.97334128,80,5,0
3,Loose Talk,Show Me the Body,['noise rock'],Trouble The Water,2022-10-28,12,3.4374568749,40,1,0
4,I Will Not Bow,Breaking Benjamin,"['alternative metal', 'post-grunge', 'rock', 'hard rock']",Dear Agony,2009-01-01,11,3.6122238911,75,2,0
5,Help,Papa Roach,"['nu metal', 'rap metal', 'alternative metal', 'rap rock', 'rock']",Crooked Teeth (Deluxe),2017-05-19,29,3.5799571599,72,7,0
6,No Leash,JAWBERRY,[],NO LEASH,2025-04-11,4,2.5077216821,17,1,0
7,Loose Talk,Show Me the Body,['noise rock'],Trouble The Water,2022-10-28,12,3.4374568749,40,1,0
8,Between Angels And Insects,Papa Roach,"['nu metal', 'rap metal', 'alternative metal', 'rap rock', 'rock']",Infest,2000-04-25,13,3.9077744822000002,72,5,0
9,Touched,Vast,['pop punk'],Visual Audio Sensory Theater,1998,12,3.967341268,46,2,0
10,I Want You Now,Big Sugar,[],Hit and Run,2003-08-26,16,3.7322241311,32,14,0
11,Know Your Enemy,Rage Against The Machine,"['rap metal', 'rap rock', 'alternative metal', 'nu metal']",Rage Against The Machine - XX (20th Anniversary Special Edition),1992,25,4.9084431502,68,6,0
12,BLACKOUT,Turnstile,"['hardcore punk', 'hardcore']",GLOW ON,2021-08-27,15,2.8879891093000003,68,2,0
13,Closer,Kings of Leon,[],Only By The Night,2008-09-23,11,3.958007916,73,1,0
14,Jamflowman,Twiddle,"['jam band', 'funk rock']",Natural Evolution of Consciousness,2007-01-31,10,7.972682612000001,50,8,0
15,love.,Kid Cudi,[],The Boy Who Flew To The Moon (Vol. 1),2022-07-08,18,5.4762276191,65,18,0
16,Help,Papa Roach,"['nu metal', 'rap metal', 'alternative metal', 'rap rock', 'rock']",Crooked Teeth (Deluxe),2017-05-19,29,3.5799571599,72,7,0
17,The Diary of Jane - Single Version,Breaking Benjamin,"['alternative metal', 'post-grunge', 'rock', 'hard rock']",Phobia (Clean Version),2006-01-01,13,3.3424400182,79,2,0
18,Fever Dog,Still Water,['southern rock'],Almost Famous (Music From The Motion Picture),2000-09-12,17,3.1515563031,44,6,0
19,Touched,Vast,['pop punk'],Visual Audio Sensory Theater,1998,12,3.967341268,46,2,0
20,Touched,Vast,['pop punk'],Visual Audio Sensory Theater,1998,12,3.967341268,46,2,0
21,Ho's,Pepper,"['funk rock', 'alternative rock', 'rock']",Kona Town,2002-03-26,13,3.4615569231000003,55,7,0
22,love.,Kid Cudi,[],The Boy Who Flew To The Moon (Vol. 1),2022-07-08,18,5.4762276191,65,18,0
23,Help,Papa Roach,"['nu metal', 'rap metal', 'alternative metal', 'rap rock', 'rock']",Crooked Teeth (Deluxe),2017-05-19,29,3.5799571599,72,7,0
24,Savior,Rise Against,"['punk', 'hardcore punk']",Appeal To Reason,2008-01-01,14,4.038008076000001,81,11,0
25,Disparate Youth,Santigold,[],Master of My Make-Believe,2012-04-21,11,4.74000948,71,2,0
26,God Is Going To Get Sick Of Me,Aberdeen City,[],The Freezing Atlantic,2005,10,3.4564402462,32,3,0
27,The Diary of Jane - Single Version,Breaking Benjamin,"['alternative metal', 'post-grunge', 'rock', 'hard rock']",Phobia (Clean Version),2006-01-01,13,3.3424400182,79,2,0
28,Roxanne,The Police,[],Outlandos D'Amour (Remastered 2003),1978-11-02,10,3.1991063982,82,3,0
29,On The Hunt,Lynyrd Skynyrd,"['southern rock', 'classic rock', 'rock']",Nuthin' Fancy (Expanded Edition),1975,10,5.4744442822,63,5,0
30,Fever Dog,Still Water,['southern rock'],Almost Famous (Music From The Motion Picture),2000-09-12,17,3.1515563031,44,6,0
31,Touched,Vast,['pop punk'],Visual Audio Sensory Theater,1998,12,3.967341268,46,2,0
32,I Will Not Bow,Breaking Benjamin,"['alternative metal', 'post-grunge', 'rock', 'hard rock']",Dear Agony,2009-01-01,11,3.6122238911,75,2,0
33,Disenchanted,My Chemical Romance,"['emo', 'pop punk']",The Black Parade,2006-10-20,14,4.9166765,79,12,0
34,Help,Papa Roach,"['nu metal', 'rap metal', 'alternative metal', 'rap rock', 'rock']",Crooked Teeth (Deluxe),2017-05-19,29,3.5799571599,72,7,0
35,Hymn for the Weekend,Coldplay,[],A Head Full of Dreams,2015-12-04,11,4.3044419422,87,3,0
36,Adventure of a Lifetime,Coldplay,[],A Head Full of Dreams,2015-12-04,11,4.3964421262,88,5,0
37,Clocks,Coldplay,[],A Rush of Blood to the Head,2002-08-27,11,5.1313269293,89,5,0
38,A Sky Full of Stars,Coldplay,[],Ghost Stories,2014-05-16,9,4.4644422622,90,8,0
39,Viva La Vida,Coldplay,[],Viva La Vida or Death and All His Friends,2008-06-06,10,4.0395580791,90,7,0
40,Yellow,Coldplay,[],Parachutes,2000-07-10,10,4.4462255591,93,5,0
41,love.,Kid Cudi,[],The Boy Who Flew To The Moon (Vol. 1),2022-07-08,18,5.4762276191,65,18,0
42,Tell më,Yeat,['rage rap'],2093,2024-02-16,22,4.0610747888,67,10,0
43,Already Gone,Crossfade,['post-grunge'],Falling Away,2006-08-29,11,3.4362235391000002,53,2,0
44,Mea Culpa (Ah! Ça ira!),Gojira,"['groove metal', 'metal', 'progressive metal', 'death metal', 'djent']",Mea Culpa (Ah! Ça ira!),2024-08-30,1,2.8860057720000003,64,1,1
45,Rose Golden,Kid Cudi,[],"Passion, Pain & Demon Slayin'",2016-12-16,19,4.630225927100001,57,7,0
46,love.,Kid Cudi,[],The Boy Who Flew To The Moon (Vol. 1),2022-07-08,18,5.4762276191,65,18,0
47,Help,Papa Roach,"['nu metal', 'rap metal', 'alternative metal', 'rap rock', 'rock']",Crooked Teeth (Deluxe),2017-05-19,29,3.5799571599,72,7,0
48,Requiem,Avenged Sevenfold,"['metal', 'alternative metal']",Hail to the King,2013-08-23,10,4.3595587191,56,5,0
49,Savior,Rise Against,"['punk', 'hardcore punk']",Appeal To Reason,2008-01-01,14,4.038008076000001,81,11,0
